100037WILLIAM WILSON                SUPERCAR V8         0083650000194200CANCELLED 20261024
100038JANE WILSON                   ELECTRIC SEDAN      0025424000075000EXPIRED   20261114
100039JAMES MILLER                  COMPACT HATCHBACK   0115275000293200CANCELLED 20260823
100040ROBERT SMITH                  SUPERCAR V8         0064729000359400CANCELLED 20260513
100041JENNIFER JONES                SUV LUXURY          0121254000305300ACTIVE    20260819
100042LAURA JONES                   ELECTRIC SEDAN      0051301000117700CANCELLED 20261102
100043LAURA DAVIS                   ELECTRIC SEDAN      0097916000297300ACTIVE    20261124
100044ROBERT JOHNSON                ELECTRIC SEDAN      0096764000250600EXPIRED   20261009
100045RICHARD WILLIAMS              COMPACT HATCHBACK   0061197000051200ACTIVE    20260611
100046PATRICIA MARTINEZ             SUV LUXURY          0048945000382900EXPIRED   20260405
100047MARY JOHNSON                  ELECTRIC SEDAN      0078452000112500CANCELLED 20260401
100048DAVID WILSON                  SPORTS COUPE        0130856000112900EXPIRED   20260721
100049SARAH WILLIAMS                SPORTS COUPE        0128859000206600ACTIVE    20260512
100050JANE WILLIAMS                 COMPACT HATCHBACK   0049071000071000CANCELLED 20261120
100051SARAH LOPEZ                   SUPERCAR V8         0075166000332200ACTIVE    20260604
100052SARAH LOPEZ                   ELECTRIC SEDAN      0121954000254200CANCELLED 20260428
100053ROBERT JONES                  CROSSOVER V4        0101114000063700ACTIVE    20261206
100054PATRICIA MARTINEZ             ELECTRIC SEDAN      0049113000281600ACTIVE    20260115
100055DAVID GARCIA                  SUV LUXURY          0033320000244100EXPIRED   20260812
100056SARAH MILLER                  SEDAN V6            0087795000073700EXPIRED   20261003
100057JOHN JOHNSON                  SPORTS COUPE        0094144000293000EXPIRED   20261120
100058EMILY DAVIS                   SPORTS COUPE        0100786000115900EXPIRED   20260713
100059JOHN GONZALEZ                 ELECTRIC SEDAN      0113468000207400CANCELLED 20260705
100060PATRICIA DAVIS                SEDAN V6            0083013000057100ACTIVE    20261113
100061CHARLES WILLIAMS              CROSSOVER V4        0130250000299400ACTIVE    20260118
100062EMILY JOHNSON                 SPORTS COUPE        0087803000110000ACTIVE    20260717
100063MARY SMITH                    SPORTS COUPE        0103255000076700ACTIVE    20260508
100064MICHAEL GARCIA                SUV LUXURY          0064343000137000EXPIRED   20261225
100065WILLIAM LOPEZ                 TRUCK DIESEL        0078954000288000ACTIVE    20260119
100066JANE HERNANDEZ                TRUCK DIESEL        0057344000247300EXPIRED   20260518
100067MARY GARCIA                   CROSSOVER V4        0105038000065000ACTIVE    20260721
100068CHARLES LOPEZ                 CROSSOVER V4        0079022000358300CANCELLED 20260126
100069LAURA HERNANDEZ               TRUCK DIESEL        0131870000229000ACTIVE    20260423
100070RICHARD DAVIS                 SUV LUXURY          0054585000208600ACTIVE    20260121
100071ELIZABETH SMITH               ELECTRIC SEDAN      0148659000301500CANCELLED 20260417
100072JAMES HERNANDEZ               TRUCK DIESEL        0046725000218200ACTIVE    20260502
100073JOHN MILLER                   SEDAN V6            0149996000097200ACTIVE    20261010
100074WILLIAM GONZALEZ              TRUCK DIESEL        0049290000206000ACTIVE    20261004
100075SARAH MARTINEZ                TRUCK DIESEL        0049441000140200ACTIVE    20261107
100076MARY SMITH                    COMPACT HATCHBACK   0062187000194300CANCELLED 20260413
100077SARAH LOPEZ                   SEDAN V6            0139792000067500ACTIVE    20260509
100078DAVID GARCIA                  SUV LUXURY          0060528000073500ACTIVE    20260710
100079JAMES RODRIGUEZ               SPORTS COUPE        0092988000344800ACTIVE    20260909
100080MARY RODRIGUEZ                SEDAN V6            0034066000334500ACTIVE    20260615
100081SARAH JONES                   SPORTS COUPE        0034803000363700ACTIVE    20260128
100082ROBERT JOHNSON                TRUCK DIESEL        0029408000274300ACTIVE    20260811
100083SARAH GONZALEZ                SUPERCAR V8         0097664000134200ACTIVE    20260513
100084PATRICIA LOPEZ                SEDAN V6            0134853000178100CANCELLED 20260512
100085LAURA HERNANDEZ               SUPERCAR V8         0068604000153000ACTIVE    20261027
100086JANE RODRIGUEZ                SUPERCAR V8         0128684000278200ACTIVE    20260809
100087LAURA MARTINEZ                SUV LUXURY          0047136000184200ACTIVE    20260719
100088JANE GARCIA                   TRUCK DIESEL        0021096000241000EXPIRED   20261205
100089MARY GARCIA                   CROSSOVER V4        0090783000175700ACTIVE    20260616
100090ELIZABETH WILSON              COMPACT HATCHBACK   0041585000354600ACTIVE    20260404
100091EMILY BROWN                   COMPACT HATCHBACK   0049431000386400ACTIVE    20260809
100092JANE JOHNSON                  CROSSOVER V4        0044280000130000EXPIRED   20260314
100093CHARLES JOHNSON               SEDAN V6            0083034000259700EXPIRED   20260807
100094JOHN MILLER                   CROSSOVER V4        0065854000160500EXPIRED   20261019
100095MARY LOPEZ                    SUPERCAR V8         0086005000237300ACTIVE    20260315
100096JANE SMITH                    SUV LUXURY          0047276000381100CANCELLED 20260418
100097MICHAEL ANDERSON              TRUCK DIESEL        0033371000263400ACTIVE    20260824
100098JANE JOHNSON                  COMPACT HATCHBACK   0029645000382000CANCELLED 20261003
100099JANE HERNANDEZ                SUPERCAR V8         0144799000182000CANCELLED 20260409
100100ELIZABETH JONES               ELECTRIC SEDAN      0147057000085000EXPIRED   20260211
100101SARAH ANDERSON                SPORTS COUPE        0104625000360900ACTIVE    20260527
100102WILLIAM ANDERSON              ELECTRIC SEDAN      0040785000228300ACTIVE    20261027
100103JOHN JOHNSON                  CROSSOVER V4        0082506000181700ACTIVE    20260811
100104DAVID RODRIGUEZ               CROSSOVER V4        0079746000137800ACTIVE    20260528
100105PATRICIA BROWN                ELECTRIC SEDAN      0022526000259600ACTIVE    20260410
100106DAVID LOPEZ                   TRUCK DIESEL        0040514000371100CANCELLED 20260504
100107JAMES MARTINEZ                SUV LUXURY          0124708000293700CANCELLED 20260708
100108RICHARD WILLIAMS              SUPERCAR V8         0143826000096500CANCELLED 20261012
100109JAMES HERNANDEZ               SEDAN V6            0063932000148200ACTIVE    20260827
100110MARY JOHNSON                  SPORTS COUPE        0069104000291200CANCELLED 20260615
100111RICHARD DAVIS                 COMPACT HATCHBACK   0052209000382400ACTIVE    20260308
100112JANE LOPEZ                    SUPERCAR V8         0046371000330000CANCELLED 20260823
100113ROBERT RODRIGUEZ              SUV LUXURY          0119826000384700CANCELLED 20260210
100114JANE DAVIS                    SUV LUXURY          0056479000223300ACTIVE    20260611
